Days.Elapsed,dil,PFBA,PFPeA,PFHxA,PFHpA,PFOA,PFNA,PFDA,PFUnDA,PFDoDA,PFTriDA,PFTeDA,PFPeDA,PFHxDA,PFHpDA,PFOcDA,FBEA,FHEA,FOEA,FDEA,FBUEA,FHUEA,FOUEA,FDUEA,FPrPA,FPePA,FHpPA,FNPA,PFBS,PFPS,PFHxS,PFHpS,PFOS,PFNS,PFDS,FTS.4.2,FTS.6.2,FTS.8.2,FBSAA,FPeSAA,FHxSAA,FHpSAA,FOSAA,MeFBSAA,MeFPeSAA,MeFHxSAA,MeFHpSAA,MeFOSAA,EtFBSAA,EtFPeSAA,EtFHxSAA,EtFHpSAA,EtFOSAA,PFPi.4.4,PFPi.4.6,PFPi.6.6,PFPi.8.6,PFPi.8.8,diPAP.4.2,diPAP.4.2.6.2,diPAP.6.2,diPAP.6.2.8.2,diPAP.8.2,diPAP.8.2.10.2,diPAP.10.2,FTMAP.6.2,FTMAP.6.2.8.2,FTMAP.8.2,FTMAP.8.2.10.2,FTMAP.10.2,SAmPAP,Reactor,Season,biotype,crossed_factors,dummy_rep,phase
202,1.093309270334435,41.7833237813175,29.136799999999997,124.0204,120.7088,142.222,11.312,1.41421356237309,1.41421356237309,1.41421356237309,1.41421356237309,1.41421356237309,0.2,1.41421356237309,0.2,0.2,0.2,508.8306,1.2,1.2,0.2,9.0008,0.2,0.2,0.2,854.7339999999999,9.5912,0.2,3.1728,0.2,18.1024,0.2,23.855199999999996,0.2,0.193,0.503424424824982,3.9092,1.41421356237309,0.2,0.2,0.2,0.2,0.2,28.361599999999996,1.41421356237309,0.2,0.2,1.41421356237309,6.0748,1.41421356237309,0.2,0.2,2.7768,0.2,0.2,0.1936,0.1944,0.195,0.2,0.2,1.37461558262665,3.2816000000000005,10.7622,10.826799999999999,1.41421356237309,0.2,0.2,0.2,0.2,0.2,1.41421356237309,P7,Winter,live,Winter_live,2,decline
230,1.093309270334435,41.7833237813175,31.1868,111.17,120.2428,144.7964,11.347,1.41421356237309,1.41421356237309,1.41421356237309,1.41421356237309,1.41421356237309,0.2,1.41421356237309,0.2,0.2,0.2,500.89879999999994,1.2,1.2,0.2,16.830000000000002,0.2,0.2,0.2,976.0868,21.711199999999998,0.2,3.3295999999999997,0.2,14.965199999999998,0.2,29.334,0.2,0.193,0.503424424824982,4.0252,1.41421356237309,0.2,0.2,0.2,0.2,0.2,29.422199999999997,1.41421356237309,0.2,0.2,1.41421356237309,5.3836,1.41421356237309,0.2,0.2,2.7596000000000003,0.2,0.2,0.1936,0.1944,0.195,0.2,0.2,0.1944,3.9856,8.7338,14.148399999999999,3.1595999999999997,0.2,0.2,0.2,0.2,0.2,1.41421356237309,P7,Winter,live,Winter_live,2,decline
273,1.093309270334435,41.7833237813175,30.509600000000002,123.21,132.043,149.2,12.078,1.41421356237309,1.41421356237309,1.41421356237309,1.41421356237309,1.41421356237309,0.2,1.41421356237309,0.2,0.2,0.2,636.5985999999999,1.2,1.2,0.2,12.564,0.2,0.2,0.2,1680.5259999999998,25.502,0.2,3.4043999999999994,0.2,18.8472,0.2,24.098799999999997,0.2,0.193,0.503424424824982,6.434399999999999,0.2,0.2,0.2,0.2,0.2,0.2,52.395199999999996,1.41421356237309,0.2,0.2,1.41421356237309,20.4592,1.41421356237309,0.2,0.2,3.1776,0.2,0.2,0.1936,0.1944,0.195,0.2,0.2,0.1944,1.41421356237309,8.4132,16.129199999999997,3.6624,0.2,0.2,0.2,0.2,0.2,1.41421356237309,P7,Winter,live,Winter_live,2,decline
0,1,41.7833237813175,10.7824,59.172133333333335,48.03906666666666,75.64226666666667,7.500400000000002,1.41421356237309,1.41421356237309,1.41421356237309,1.41421356237309,0.2,0.2,0.2,0.2,0.2,0.2,27.841866666666665,1.2,1.2,0.2,20.598000000000003,1.41421356237309,0.2,0.2,26.210000000000004,0.824217381620061,0.2,1.82741390613705,1.41421356237309,10.1088,0.2,75.01533333333332,0.2,0.193,0.503424424824982,4.3078666666666665,1.41421356237309,0.2,0.2,0.2,0.2,0.2,5.60981520276729,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,4.272399999999999,0.2,0.2,0.1936,0.1944,0.195,0.2,0.2,111.5016,101.46026666666667,28.03946666666667,11.535200000000001,6.3248,0.2,0.2,0.2,0.2,0.2,6.9372,P8,Winter,abio,Winter_abio,1,lag
14,1,33.208,22.1032,123.97519999999999,51.029999999999994,67.9896,3.6984,1.41421356237309,1.41421356237309,1.41421356237309,1.41421356237309,0.2,0.2,0.2,0.2,0.2,0.2,9.68156294609963,1.2,1.2,0.2,0.2,0.2,0.2,0.2,7.6648,0.824217381620061,0.2,4.489999999999999,0.2,5.824599999999999,0.2,24.063999999999997,0.2,0.193,0.503424424824982,3.9561999999999995,1.41421356237309,0.2,0.2,0.2,0.2,0.2,2.022,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,2.436,0.2,0.2,0.1936,0.1944,0.195,0.2,0.2,98.6858,126.10799999999999,243.09959999999995,25.6528,11.6816,0.2,0.2,0.2,0.2,0.2,9.581199999999999,P8,Winter,abio,Winter_abio,1,lag
27,1,32.239999999999995,21.9328,97.03893333333333,43.547599999999996,71.31773333333332,7.02,1.41421356237309,1.41421356237309,1.41421356237309,1.41421356237309,0.2,0.2,0.2,0.2,0.2,0.2,1.36917976233429,1.2,1.2,0.2,0.2,0.2,0.2,0.2,10.340399999999999,0.824217381620061,0.2,4.236,1.41421356237309,11.826533333333332,0.2,25.424400000000002,0.2,0.193,0.503424424824982,4.663733333333333,1.41421356237309,0.2,0.2,0.2,0.2,0.2,2.6668,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.41421356237309,0.2,0.2,0.1936,0.1944,0.195,0.2,0.2,32.29853333333333,79.43293333333334,72.47626666666666,16.62013333333333,5.556266666666666,0.2,0.2,0.2,0.2,0.2,3.8112,P8,Winter,abio,Winter_abio,1,lag
62,1,28.04,20.7,96.08,56.68,63.398999999999994,4.14,1.41421356237309,1.41421356237309,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.36917976233429,1.2,1.2,0.2,0.2,0.2,0.2,0.2,11.1906,0.824217381620061,0.2,3.8800000000000003,1.41421356237309,14.240000000000002,0.2,10.102133333333333,0.2,0.193,0.503424424824982,7.8970666666666665,0.2,0.2,0.2,0.2,0.2,0.2,3.8575999999999997,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1936,0.1944,0.195,0.2,0.2,10.026266666666666,23.988400000000002,34.44906666666666,9.5246,3.5712,0.2,0.2,0.2,0.2,0.2,3.453333333333333,P8,Winter,abio,Winter_abio,1,peak
90,1,28.08,36.93333333333334,108.38239999999999,72.05239999999999,85.14853333333333,6.0928,1.41421356237309,1.41421356237309,1.41421356237309,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.36917976233429,1.2,1.2,0.2,0.2,0.2,0.2,0.2,11.1844,0.824217381620061,0.2,7.0570666666666675,1.41421356237309,9.975533333333333,0.2,NA,0.2,0.193,0.503424424824982,7.7452,1.41421356237309,0.2,0.2,0.2,0.2,0.2,5.1834,0.2,0.2,0.2,0.2,1.41421356237309,0.2,0.2,0.2,0.2,0.2,0.2,0.1936,0.1944,0.195,0.2,0.2,24.35653333333333,30.24253333333333,34.468266666666665,8.004266666666668,5.359999999999999,0.2,0.2,0.2,0.2,0.2,5.740200000000001,P8,Winter,abio,Winter_abio,1,peak
119,1,41.7833237813175,27.5548,120.6848,76.5632,91.1434,1.41421356237309,1.41421356237309,1.41421356237309,1.41421356237309,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.36917976233429,1.2,1.2,0.2,0.2,0.2,0.2,0.2,3.2975999999999996,0.824217381620061,0.2,2.64,1.41421356237309,6.032399999999999,0.2,10.1492,0.2,0.193,0.503424424824982,4.2486,1.41421356237309,0.2,0.2,0.2,0.2,0.2,5.60981520276729,0.2,0.2,0.2,0.2,1.41421356237309,0.2,0.2,0.2,0.2,0.2,0.2,0.1936,0.1944,0.195,0.2,0.2,1.37461558262665,1.41421356237309,1.38168665043851,1.41421356237309,1.41421356237309,0.2,0.2,0.2,0.2,0.2,0.2,P8,Winter,abio,Winter_abio,1,peak
133,1,41.7833237813175,29.9064,118.8383,73.57253333333333,86.8488,3.4036,1.41421356237309,1.41421356237309,1.41421356237309,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.36917976233429,1.2,1.2,0.2,0.2,0.2,0.2,0.2,10.3,0.824217381620061,0.2,7.107333333333333,1.41421356237309,9.891599999999999,0.2,NA,0.2,0.193,0.503424424824982,8.925733333333332,0.2,0.2,0.2,0.2,0.2,0.2,5.7156,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1936,0.1944,0.195,0.2,0.2,3.7176000000000005,6.5464,6.898,7.420533333333334,1.41421356237309,0.2,0.2,0.2,0.2,0.2,2.5412,P8,Winter,abio,Winter_abio,1,peak
